Site,N_Coords,W_Coords,Date,Team,SamplingMethod,ResearcherPresent,StartStation,StartTime,EndStation,EndTime,ClothVial,ResearchersVial,Comments
Dover,41.288779,-81.560897,6/18/2019,1,Dragging,1,04-1,10:15,04-2,10:17,NA,NA,
Dover,41.288779,-81.560897,6/18/2019,1,Dragging,1,04-2,10:18,04-3,10:21,NA,NA,
Dover,41.288779,-81.560897,6/18/2019,1,Dragging,1,04-3,10:22,05-3,10:25,NA,NA,
Dover,41.288779,-81.560897,6/18/2019,1,Dragging,1,05-3,10:27,05-2,10:30,NA,NA,
Dover,41.288779,-81.560897,6/18/2019,1,Dragging,1,05-2,10:31,05-1,10:34,NA,NA,
Dover,41.288779,-81.560897,6/18/2019,1,Dragging,1,05-1,10:35,08-1,10:40,NA,NA,
Dover,41.288779,-81.560897,6/18/2019,1,Dragging,1,08-1,10:40,08-2,10:43,NA,NA,3 ticks collected in car
Grassland at Valley View ,41.3396,-81.581,6/25/2019,1,Dragging,2,1,11:15,50 m ,11:17,NA,NA,
Grassland at Valley View ,41.3396,-81.581,6/25/2019,1,Dragging,2,3,11:21,50 m ,11:23,NA,NA,
Grassland at Valley View ,41.3396,-81.581,6/25/2019,1,Dragging,2,4,11:24,50 m ,11:26,NA,NA,
Grassland at Valley View ,41.3396,-81.581,6/25/2019,1,Dragging,2,5,11:27,50 m ,11:28,NA,NA,
Grassland at Valley View ,41.3396,-81.581,6/25/2019,1,Dragging,2,6,11:31,50 m ,11:32,NA,NA,
Grassland at Valley View ,41.3396,-81.581,6/25/2019,1,Dragging,2,7,11:33,50 m ,11:35,NA,NA,
Grassland at Valley View ,41.3396,-81.581,6/25/2019,1,Dragging,2,8,11:36,50 m ,11:37,NA,NA,
Grassland at Valley View ,41.3396,-81.581,6/25/2019,1,Dragging,2,9,11:38,50 m ,11:39,NA,NA,
Grassland at Valley View ,41.3396,-81.581,6/25/2019,1,Dragging,2,10,11:41,50 m ,11:43,NA,NA,
Grassland at Valley View ,41.3396,-81.581,6/25/2019,2,Dragging,2,1,11:15,50 m ,11:17,NA,NA,
Grassland at Valley View ,41.3396,-81.581,6/25/2019,2,Dragging,2,2,11:18,50 m ,11:20,NA,NA,
Grassland at Valley View ,41.3396,-81.581,6/25/2019,2,Dragging,2,3,11:21,50 m ,11:22,NA,NA,
Grassland at Valley View ,41.3396,-81.581,6/25/2019,2,Dragging,2,4,11:23,50 m ,11:24,NA,NA,
Grassland at Valley View ,41.3396,-81.581,6/25/2019,2,Dragging,2,5,11:25,50 m ,11:26,NA,NA,
Grassland at Valley View ,41.3396,-81.581,6/25/2019,2,Dragging,2,6,11:27,50 m ,11:29,NA,NA,
Grassland at Valley View ,41.3396,-81.581,6/25/2019,2,Dragging,2,7,11:31,50 m ,11:32,NA,NA,
Grassland at Valley View ,41.3396,-81.581,6/25/2019,2,Dragging,2,8,11:33,50 m ,11:34,NA,NA,
Grassland at Valley View ,41.3396,-81.581,6/25/2019,2,Dragging,2,9,11:37,50 m ,11:38,NA,NA,
Grassland at Valley View ,41.3396,-81.581,6/25/2019,2,Dragging,2,10,11:39,50 m ,11:41,NA,NA,
Grassland at Valley View ,41.3396,-81.581,6/25/2019,2,Dragging,2,11,11:42,50 m ,11:43,NA,NA,
Grassland at Valley View ,41.3396,-81.581,6/25/2019,2,Dragging,2,12,11:45,50 m ,11:46,NA,NA,
Cleveland Trust ,41.3926,-81.6323,6/25/2019,1,Dragging,2,1,10:28,50 m ,10:30,NA,NA,
Cleveland Trust ,41.3926,-81.6323,6/25/2019,1,Dragging,2,2,10:31,50 m ,10:33,NA,NA,
Cleveland Trust ,41.3926,-81.6323,6/25/2019,1,Dragging,2,3,10:34,50 m ,10:37,NA,NA,
Cleveland Trust ,41.3926,-81.6323,6/25/2019,1,Dragging,2,4,10:39,50 m ,10:40,NA,NA,
Cleveland Trust ,41.3926,-81.6323,6/25/2019,2,Dragging,2,1,10:29,50 m ,10:31,NA,NA,
Cleveland Trust ,41.3926,-81.6323,6/25/2019,2,Dragging,2,2,10:32,50 m ,10:33,NA,NA,
Cleveland Trust ,41.3926,-81.6323,6/25/2019,2,Dragging,2,4,10:38,50 m ,10:39,NA,NA,
Cleveland Trust ,41.3926,-81.6323,6/25/2019,2,Dragging,2,5,10:40,50 m ,10:41,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,1,Dragging,2,1,12:02,50 m ,12:04,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,1,Dragging,2,2,12:05,50 m ,12:06,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,1,Dragging,2,3,12:07,50 m ,12:08,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,1,Dragging,2,4,12:09,50 m ,12:10,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,1,Dragging,2,5,12:11,50 m ,12:12,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,1,Dragging,2,6,12:13,50 m ,12:14,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,1,Dragging,2,7,12:14,50 m ,12:15,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,1,Dragging,2,8,12:17,50 m ,12:19,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,1,Dragging,2,9,12:20,50 m ,12:21,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,1,Dragging,2,10,12:21,50 m ,12:23,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,1,Dragging,2,11,12:23,50 m ,12:24,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,1,Dragging,2,12,12:25,50 m ,12:26,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,1,Dragging,2,13,12:27,50 m ,12:28,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,1,Dragging,2,14,12:28,50 m ,12:29,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,1,Dragging,2,15,12:30,50 m ,12:31,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,1,Dragging,2,16,12:32,50 m ,12:33,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,1,Dragging,2,17,12:33,50 m ,12:34,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,1,Dragging,2,18,12:36,50 m ,12:37,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,1,Dragging,2,19,12:37,50 m ,12:38,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,1,Dragging,2,20,12:38,50 m ,12:39,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,1,Sweeping,2,1,12:44,20 sweeps,12:45,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,1,Sweeping,2,2,12:45,20 sweeps,12:45,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,1,Sweeping,2,3,12:46,20 sweeps,12:46,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,1,Sweeping,2,4,12:47,20 sweeps,12:47,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,1,Sweeping,2,5,12:47,20 sweeps,12:48,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,1,Sweeping,2,6,12:48,20 sweeps,12:49,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,1,Sweeping,2,7,12:49,20 sweeps,12:49,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,1,Sweeping,2,8,12:50,20 sweeps,12:50,NA,NA,
KSU Rec Prairie ,41.14132,81.342,6/26/2019,1,Sweeping,2,9,12:51,20 sweeps,12:51,NA,NA,
