"","DATE","WeatherStation","Date","Tmax","Tmin","RHMax","RHMin","ISODate","Year","Month","Day","JDay","Hour","Temp"
"1",2019-07-08 12:00:00,"KentStandingRock",2019-07-08 00:00:00,31.1,14.4,97,50,2019-07-08,2019,7,8,189,0,14.4
"4",2019-07-08 12:00:00,"KentStandingRock",2019-07-08 01:00:00,31.1,14.4,97,50,2019-07-08,2019,7,8,189,1,14.4
"7",2019-07-08 12:00:00,"KentStandingRock",2019-07-08 02:00:00,31.1,14.4,97,50,2019-07-08,2019,7,8,189,2,14.4
"10",2019-07-08 12:00:00,"KentStandingRock",2019-07-08 03:00:00,31.1,14.4,97,50,2019-07-08,2019,7,8,189,3,14.4
"13",2019-07-08 12:00:00,"KentStandingRock",2019-07-08 04:00:00,31.1,14.4,97,50,2019-07-08,2019,7,8,189,4,14.4
"16",2019-07-08 12:00:00,"KentStandingRock",2019-07-08 05:00:00,31.1,14.4,97,50,2019-07-08,2019,7,8,189,5,15.9504651694379
"19",2019-07-08 12:00:00,"KentStandingRock",2019-07-08 06:00:00,31.1,14.4,97,50,2019-07-08,2019,7,8,189,6,18.6476906921227
"22",2019-07-08 12:00:00,"KentStandingRock",2019-07-08 07:00:00,31.1,14.4,97,50,2019-07-08,2019,7,8,189,7,21.2306454736307
"25",2019-07-08 12:00:00,"KentStandingRock",2019-07-08 08:00:00,31.1,14.4,97,50,2019-07-08,2019,7,8,189,8,23.6298432498479
"28",2019-07-08 12:00:00,"KentStandingRock",2019-07-08 09:00:00,31.1,14.4,97,50,2019-07-08,2019,7,8,189,9,25.7807411601966
"31",2019-07-08 12:00:00,"KentStandingRock",2019-07-08 10:00:00,31.1,14.4,97,50,2019-07-08,2019,7,8,189,10,27.6254760700409
"34",2019-07-08 12:00:00,"KentStandingRock",2019-07-08 11:00:00,31.1,14.4,97,50,2019-07-08,2019,7,8,189,11,29.1144211960998
"37",2019-07-08 12:00:00,"KentStandingRock",2019-07-08 12:00:00,31.1,14.4,97,50,2019-07-08,2019,7,8,189,12,30.2075211587662
"40",2019-07-08 12:00:00,"KentStandingRock",2019-07-08 13:00:00,31.1,14.4,97,50,2019-07-08,2019,7,8,189,13,30.8753695459525
"43",2019-07-08 12:00:00,"KentStandingRock",2019-07-08 14:00:00,31.1,14.4,97,50,2019-07-08,2019,7,8,189,14,31.1
"46",2019-07-08 12:00:00,"KentStandingRock",2019-07-08 15:00:00,31.1,14.4,97,50,2019-07-08,2019,7,8,189,15,30.8753695459525
"49",2019-07-08 12:00:00,"KentStandingRock",2019-07-08 16:00:00,31.1,14.4,97,50,2019-07-08,2019,7,8,189,16,30.2075211587662
"52",2019-07-08 12:00:00,"KentStandingRock",2019-07-08 17:00:00,31.1,14.4,97,50,2019-07-08,2019,7,8,189,17,29.1144211960998
"55",2019-07-08 12:00:00,"KentStandingRock",2019-07-08 18:00:00,31.1,14.4,97,50,2019-07-08,2019,7,8,189,18,27.6254760700409
"58",2019-07-08 12:00:00,"KentStandingRock",2019-07-08 19:00:00,31.1,14.4,97,50,2019-07-08,2019,7,8,189,19,25.7807411601966
"61",2019-07-08 12:00:00,"KentStandingRock",2019-07-08 20:00:00,31.1,14.4,97,50,2019-07-08,2019,7,8,189,20,22.9926342732371
"64",2019-07-08 12:00:00,"KentStandingRock",2019-07-08 21:00:00,31.1,14.4,97,50,2019-07-08,2019,7,8,189,21,20.6366714750392
"67",2019-07-08 12:00:00,"KentStandingRock",2019-07-08 22:00:00,31.1,14.4,97,50,2019-07-08,2019,7,8,189,22,19.104048373948
"70",2019-07-08 12:00:00,"KentStandingRock",2019-07-08 23:00:00,31.1,14.4,97,50,2019-07-08,2019,7,8,189,23,17.9660305955801
"2",2019-07-09 12:00:00,"KentStandingRock",2019-07-09 00:00:00,31.1,14.4,97,50,2019-07-09,2019,7,9,190,0,16.701331272471
"5",2019-07-09 12:00:00,"KentStandingRock",2019-07-09 01:00:00,31.1,14.4,97,50,2019-07-09,2019,7,9,190,1,15.9125289615268
"8",2019-07-09 12:00:00,"KentStandingRock",2019-07-09 02:00:00,31.1,14.4,97,50,2019-07-09,2019,7,9,190,2,15.2379187994686
"11",2019-07-09 12:00:00,"KentStandingRock",2019-07-09 03:00:00,31.1,14.4,97,50,2019-07-09,2019,7,9,190,3,14.6485811384244
"14",2019-07-09 12:00:00,"KentStandingRock",2019-07-09 04:00:00,31.1,14.4,97,50,2019-07-09,2019,7,9,190,4,14.1253577500985
"17",2019-07-09 12:00:00,"KentStandingRock",2019-07-09 05:00:00,31.1,14.4,97,50,2019-07-09,2019,7,9,190,5,15.9274418008319
"20",2019-07-09 12:00:00,"KentStandingRock",2019-07-09 06:00:00,31.1,14.4,97,50,2019-07-09,2019,7,9,190,6,18.6278107540036
"23",2019-07-09 12:00:00,"KentStandingRock",2019-07-09 07:00:00,31.1,14.4,97,50,2019-07-09,2019,7,9,190,7,21.2142310402225
"26",2019-07-09 12:00:00,"KentStandingRock",2019-07-09 08:00:00,31.1,14.4,97,50,2019-07-09,2019,7,9,190,8,23.6169930246582
"29",2019-07-09 12:00:00,"KentStandingRock",2019-07-09 09:00:00,31.1,14.4,97,50,2019-07-09,2019,7,9,190,9,25.7713370619381
"32",2019-07-09 12:00:00,"KentStandingRock",2019-07-09 10:00:00,31.1,14.4,97,50,2019-07-09,2019,7,9,190,10,27.6191989090084
"35",2019-07-09 12:00:00,"KentStandingRock",2019-07-09 11:00:00,31.1,14.4,97,50,2019-07-09,2019,7,9,190,11,29.1107746823849
"38",2019-07-09 12:00:00,"KentStandingRock",2019-07-09 12:00:00,31.1,14.4,97,50,2019-07-09,2019,7,9,190,12,30.2058631808016
"41",2019-07-09 12:00:00,"KentStandingRock",2019-07-09 13:00:00,31.1,14.4,97,50,2019-07-09,2019,7,9,190,13,30.8749493947536
"44",2019-07-09 12:00:00,"KentStandingRock",2019-07-09 14:00:00,31.1,14.4,97,50,2019-07-09,2019,7,9,190,14,31.1
